Title,Runtime,IMDB_Score,Votes
1. Moana 2,1h 40m,6.7, (91K)
2. Flow,1h 25m,7.9, (62K)
3. The Day the Earth Blew Up: A Looney Tunes Movie,1h 31m,7, (2.7K)
4. Sonic the Hedgehog 3,1h 50m,6.9, (53K)
5. Mufasa: The Lion King,1h 58m,6.6, (48K)
6. Paddington in Peru,1h 46m,6.7, (18K)
7. Despicable Me 4,1h 34m,6.2, (63K)
8. Inside Out 2,1h 36m,7.5, (212K)
9. IF,1h 44m,6.4, (57K)
10. Transformers One,1h 44m,7.6, (48K)
11. Wallace & Gromit: Vengeance Most Fowl,1h 22m,7.5, (33K)
12. Harold and the Purple Crayon,1h 30m,5.7, (8K)
13. Kung Fu Panda 4,1h 34m,6.3, (67K)
14. Young Hearts,1h 39m,0,0
15. The Garfield Movie,1h 41m,5.7, (24K)
16. The Forge,2h 4m,6.7, (4.6K)
17. Descendants: The Rise of Red,1h 31m,4.7, (6.9K)
18. Spellbound,1h 49m,5.6, (6.5K)
19. How to Make Millions Before Grandma Dies,2h 5m,8, (13K)
20. My Penguin Friend,1h 37m,6.7, (4.8K)
21. Hitpig,1h 26m,5.1,0
22. Faith of Angels,1h 38m,5.9,0
23. Piece by Piece,1h 33m,6.9, (5.1K)
24. You Gotta Believe,1h 44m,5.8, (1.3K)
25. Unsung Hero,1h 53m,7, (4.9K)
26. Orion and the Dark,1h 33m,6.3, (17K)
27. A Sloth Story,1h 30m,5.6,0
28. Megamind vs. The Doom Syndicate,1h 23m,2.5, (5.5K)
29. Lost on a Mountain in Maine,1h 38m,6.1, (1.1K)
30. Saving Bikini Bottom: The Sandy Cheeks Movie,1h 22m,3.7, (3.8K)
31. Big World,2h 11m,0,0
32. Thelma the Unicorn,1h 33m,5.7, (2.9K)
33. Buffalo Kids,1h 33m,0,0
34. The Thundermans Return,1h 10m,5, (1.8K)
35. Fear,1h 55m,0,0
36. That Christmas,1h 31m,6.8, (17K)
37. Noah's Ark,1h 36m,0,0
38. Woodwalkers,1h 43m,0,0
39. Guest from the Future,2h 21m,0,0
40. The Tiger's Apprentice,1h 24m,5.7, (2.1K)
41. Ultraman: Rising,1h 57m,6.9, (6.2K)
42. Doraemon the Movie: Nobita's Earth Symphony,1h 55m,0,0
43. The Lost Tiger,1h 30m,0,0
44. 10 Lives,1h 28m,5.9, (1.9K)
45. Runt,1h 31m,0,0
46. Panda Plan,1h 39m,0,0
47. Autumn and the Black Jaguar,1h 40m,5.6,0
48. Woody Woodpecker Goes to Camp,1h 40m,4.5, (2.5K)
49. Storm Crashers,1h 28m,6.3,0
50. My Freaky Family,1h 26m,0,0
52. Dalia y el Libro Rojo,1h 47m,0,0
53. Bibi Rajni,2h 23m,0,0
54. Meiyazhagan,2h 57m,0,0
55. Rajakili,2h 2m,0,0
56. Savages,1h 27m,0,0
57. Crayon Shin-chan: Ora's Dinosaur Diary,1h 46m,0,0
58. 200% Wolf,1h 38m,6, (1.3K)
59. Rebellious,1h 34m,0,0
60. Bila Esok Ibu Tiada,1h 44m,0,0
61. Bambi: A Tale of Life in the Woods,1h 25m,5.6,0
62. The Night Before Christmas in Wonderland,1h 20m,6.3,0
63. Average Joe,1h 40m,4.2,0
64. Man and Witch: The Dance of a Thousand Steps,1h 34m,5.5,0
65. The Groomsmen: First Look,1h 22m,0,0
66. Panda Bear in Africa,1h 24m,0,0
67. Ryan's World the Movie: Titan Universe Adventure,1h 20m,0,0
68. A Sudden Case of Christmas,1h 31m,0,0
69. Niko: Beyond the Northern Lights,1h 26m,6.2,0
70. And the Breadwinner Is...,2h 3m,6.8,0
71. Ghost Cat Anzu,1h 37m,0,0
72. Believe in Christmas,1h 30m,0,0
73. Robin and the Hoods,1h 40m,0,0
74. A Nashville Wish,1h 42m,5.6,0
75. A Carpenter's Prayer,1h 31m,0,0
76. Super-Charlie,1h 20m,0,0
77. The Neon Highway,1h 53m,6,0
78. Rally Caps,1h 40m,0,0
79. School of Magical Animals 3,1h 45m,0,0
80. Der Buchspazierer,1h 38m,0,0
81. The Primrose Railway Children,1h 21m,0,0
82. Marry Christmas,1h 25m,0,0
83. A Brother and 7 Siblings,2h 9m,8.6, (1.1K)
85. Véletlenül írtam egy könyvet,1h 38m,0,0
"86. Love, Sitara",1h 45m,0,0
87. No Time to Spy: A Loud House Movie,1h 21m,6.4,0
88. Skelly,1h 25m,0,0
89. Sabari,2h 9m,0,0
90. Brewster's Millions: Christmas,1h 40m,0,0
91. Home Sweet Loan,1h 52m,8.1,0
92. Treasure Trackers,1h 32m,5.8,0
93. The Snow Sister,1h 36m,0,0
94. Going Viral,1h 30m,6.8,0
95. Dongeng Sang Kancil,1h 39m,0,0
96. Cup,2h 26m,0,0
97. Return to Wickensburg,1h 28m,0,0
98. Chico Bento e a Goiabeira Maraviosa,1h 30m,0,0
99. Disaster Holiday,1h 33m,0,0
100. Juliette au printemps,1h 35m,0,0
101. Juf Braaksel en de Geniale Ontsnapping,1h 23m,0,0
102. Babah,2h 9m,0,0
103. Ole Aale,2h 22m,0,0
104. The Casagrandes Movie,1h 29m,5.6,0
105. Like a Rolling Stone,1h 46m,0,0
"106. Maya, donne-moi un titre",1h 1m,0,0
107. 2nd Miracle in Cell No. 7,2h 27m,7.8,0
109. Dance Rivals,1h 33m,0,0
110. Father There is Only One 4,1h 30m,0,0
111. Dear Family,1h 56m,0,0
112. Victoria må dø,1h 25m,0,0
113. Børnene fra Sølvgade,1h 42m,0,0
115. Grrr...,2h 1m,0,0
116. My Oni Girl,1h 52m,6, (1.7K)
117. The Big Trip 3: Race Around the World,1h 25m,0,0
118. Elli and the Ghostly Ghost Train,1h 26m,0,0
"119. Die Heinzels: Neue Mützen, Neue Mission",1h 16m,0,0
120. Krispy Rishtey,2h 13m,0,0
121. Gracie and Pedro: Pets to the Rescue,1h 27m,5.1,0
122. Letuchiy korabl,1h 40m,0,0
123. The Adventures of Jurassic Pet: Return to the Wild,1h 30m,0,0
124. Bremenskie muzykanty,1h 55m,0,0
125. Dog Days,2h,0,0
126. Paper Flowers,1h 40m,0,0
127. Aanandhapuram Diaries,1h 55m,0,0
"129. Robotia, the Movie",1h 26m,0,0
130. Little Emma,1h 46m,5.7,0
131. Zak & Wowo: The Legend of Lendarys,1h 25m,0,0
132. Il migliore dei mali,1h 30m,0,0
133. Windcatcher,1h 20m,0,0
134. Kvitebjørn,1h 25m,0,0
135. Luv Ki Arrange Marriage,2h 15m,0,0
136. G for Gap,1h 43m,0,0
137. Powder Pup,1h 29m,6.2,0
138. Living Large,1h 20m,0,0
139. Stinky Summer,1h 30m,0,0
140. Goldbeak,1h 34m,4.9,0
141. Tri kota. Zimnie kanikuly,1h 5m,0,0
142. My Redneck Neighbor: Chapter 2 - Let the Games Begin,55m,0,0
143. Saint Nick of Bethlehem,1h 33m,9.3,0
145. Chicken Coop,1h 38m,0,0
146. Eine zweite Chance,1h 31m,0,0
147. Yaren Leylek,1h 35m,0,0
150. Daaru Na Peenda Hove,1h 51m,0,0
151. Singapore Saloon,2h 17m,0,0
152. Superkrachten voor je hoofd,1h 32m,0,0
154. Magic Beach,1h 20m,0,0
155. Sunny,2h 2m,0,0
156. Sieger Sein,1h 59m,0,0
157. Captain Avispa,1h 36m,5.8,0
158. Baba Yaga spasaet Novyy god,1h 39m,0,0
159. Gina,1h 40m,0,0
160. Peppa's Cinema Party,1h 5m,5,0
162. Yolki 11,1h 32m,0,0
163. Daye: Seret ahl el Daye,1h 44m,0,0
164. Nadanna Sambhavam,2h,0,0
165. Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,1h 30m,0,0
166. The Proud Princess,1h 24m,0,0
167. SuperKlaus,1h 28m,0,0
168. Gharat Ganpati,2h 19m,0,0
169. My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,1h 14m,0,0
170. Vishesham,2h 16m,0,0
171. Too Old for Fairy Tales 2,1h 35m,0,0
172. Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,1h 11m,0,0
173. Planet 7693,1h 50m,0,0
174. Chithini,2h 31m,0,0
175. 14 Days Love,1h 52m,0,0
176. Luigi's Mansion,1h,0,0
177. Joy of Horses,1h 30m,0,0
178. Kardes Takimi,1h 35m,0,0
179. Ghudchadi,1h 53m,0,0
180. The Legend of Catclaws Mountain,1h 44m,3.5,0
181. Si Juki the Movie: Harta Pulau Monyet,1h 47m,6,0
182. Obraz,1h 35m,0,0
183. Dedh Bigha Zameen,1h 40m,0,0
184. The Lamb,1h 25m,0,0
185. Brother,2h 20m,0,0
187. Amaltash,1h 53m,0,0
188. LasseMajas detektivbyrå - Maskoten som försvann,1h 30m,0,0
189. Emma,1h 30m,0,0
190. Grüsse vom Mars,1h 25m,0,0
191. BeBe Winans' We Three Kings,1h 30m,6.9,0
193. Masha i Medved v kino: Park chudes,58m,0,0
194. Spirit of Friendship,1h 25m,0,0
195. Askepote,1h 12m,0,0
196. Miracle Mile,1h 22m,0,0
197. Ognivo,1h 45m,0,0
198. Mr. Santa: A Christmas Extravaganza,1h 38m,8.5,0
199. Troy the Bharat Putra,2h 14m,0,0
200. The Land of Morning Calm,1h 53m,0,0
201. Laggam,2h 10m,0,0
202. The Magic Penguin,1h 29m,3.8,0
203. Håkan Bråkan 2,1h 32m,0,0
204. Vaar Tahevaar,2h 7m,0,0
205. Hashtag Tadev lagnam,1h 58m,0,0
206. Carol,1h 55m,8.3,0
207. Palayam PC,1h 58m,0,0
209. Rajkumar,2h 25m,0,0
210. The Hedgehog,1h 44m,0,0
212. The Secret of Pin-Up Island,1h 47m,0,0
213. CBeebies Panto: Beauty and the Beast,1h 13m,0,0
214. A Christmas Miracle,1h 28m,0,0
215. Mees Kees op eigen benen,1h 22m,0,0
216. De Bellinga's: Pretpark op stelten,1h 10m,0,0
217. Vikaasaparva,2h 14m,0,0
218. Wedding Diaries,2h 1m,0,0
219. Ducobu passe au vert!,1h 30m,0,0
221. Porch Pirates,1h 47m,0,0
222. Baii Ga,2h 14m,0,0
223. For Prophet,1h 45m,0,0
226. Double Tuckerr,2h,0,0
227. Mountain Boy,1h 33m,0,0
228. Steal the Naughty List,1h 30m,0,0
"230. Akiko, der fliegende Affe",1h 10m,0,0
232. Die Chaosschwestern und Pinguin Paul,1h 40m,0,0
233. Feather Christmas,1h 34m,0,0
234. Scooped,1h 24m,0,0
235. Tartinijev kljuc,1h 55m,0,0
236. Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,1h 10m,0,0
237. Paagal vs Kadhal,1h 51m,0,0
238. Christmas Carole,1h 33m,0,0
239. Domovyonok Kuzya,1h 30m,0,0
240. Rocket Club: Across the Cosmos,1h 8m,0,0
242. Igrisca ne damo!,1h 19m,0,0
243. Day of the Diesels,1h 40m,0,0
245. Chhota Bheem and the Curse of Damyaan,2h 25m,0,0
246. Inanimate Insanity II: The Movie,1h 46m,8.3,0
248. Heavens: The Boy and His Robot,1h 38m,0,0
249. Ne odna doma,1h 19m,0,0
251. Our Church Thinks We're Dating,1h 42m,7.5,0
252. Super papa,1h 30m,0,0
"253. Merry Birthday, Happy Christmas",1h 24m,0,0
254. Guru Chela,2h 37m,0,0
255. Smotri na menya!,2h,0,0
256. Piraty galaktiki Barrakuda,1h 32m,0,0
257. Dikkie Dik en de Verdwenen Knuffel,1h 2m,0,0
259. Heidi,1h 40m,0,0
260. Maerey Gaon Ki Baat,2h 45m,0,0
262. Animal Tales of Christmas Magic,1h 12m,0,0
263. Vasilisa i khraniteli vremeni,1h 38m,0,0
264. Mastaani,2h 30m,0,0
265. De Grote Sinterklaasfilm - Stampij in de bakkerij,1h 15m,0,0
266. Oyunda Kal: Eglence Arenasi,1h 32m,0,0
267. My Dear Donga,2h 12m,0,0
268. Manyunya. Priklyucheniya v derevne,1h 24m,0,0
269. Our Christmas House,1h 17m,0,0
270. The Truth: The Journey Within,1h 31m,0,0
271. De Club van Sinterklaas Film: Het Grote Sneeuwavontuur,1h 19m,0,0
272. Bob a Bobek ve filmu: Na stope Mrkvojeda,1h 20m,0,0
273. Little Town,1h 30m,0,0
274. DeAr,2h 12m,0,0
276. The Cheshire Cat,1h 4m,0,0
277. SDL A Batalha Musical,1h 42m,0,0
278. Moy dikiy drug,1h 40m,0,0
279. Awesomest Christmas Ever,1h 18m,0,0
280. Nanak Naam Jahaz Hai,2h 20m,0,0
281. Home Plate,1h 25m,0,0
282. Uma & Haggen: Mitos,1h 34m,0,0
283. Tri bogatyrya. Ni dnya bez podviga,1h 1m,0,0
284. Double Engine,1h 46m,0,0
286. Thookudurai,2h 5m,0,0
287. Gowri,2h 10m,0,0
288. A Hero's Journey: The Making of Percy Jackson and the Olympians,50m,7.5,0
290. Il circo delle meraviglie,1h 30m,0,0
291. Woof Woof Daddy,1h 45m,0,0
292. De Legende van Familie Vos,1h 21m,0,0
295. Pui Pui Molcar the Movie: Molmax,1h 9m,0,0
298. Mansarra,2h 18m,0,0
299. Manyunya. Priklyucheniya v Moskve,1h 27m,0,0
300. Hope's Hollywood Christmas,1h 30m,0,0
301. A Game of Two Halves,1h 40m,0,0
303. Moy lyubimyy chempion,1h 35m,0,0
304. Gabru Gang,2h 3m,0,0
305. Margie en de magische drank,59m,0,0
306. Fanzo Movie,1h 44m,0,0
307. Titip Surat Untuk Tuhan,1h 21m,0,0
308. Peas and Carrots,1h 36m,0,0
310. A Holiday for Harmony,2h,0,0
313. Semeynyy perepolokh,1h 27m,0,0
314. Padmavyuham Lo Chakradhari,1h 50m,0,0
315. Chitti - Potti,2h 30m,0,0
316. Return,1h 30m,0,0
317. Petualangan Anak Penangkap Hantu,1h 39m,0,0
318. Haydi Tut Elimi,1h 53m,0,0
321. Vozvrashchenie popugaya Keshi,1h 33m,0,0
"322. 7 dney, 7 nochey",1h 38m,0,0
"323. Ponta Grossa, Não Sei Se Te Amo",1h 29m,0,0
324. Oti Uttam,2h 17m,0,0
325. Romeo and Benvolio,1h 20m,0,0
"326. Heinähattu, Vilttitossu ja kana",1h 17m,0,0
328. Novyy god v Beryozovke,1h 34m,0,0
329. Boom!,1h 30m,0,0
333. Tayna Chyornoy Ruki,1h 24m,0,0
334. Al Eid Eiden,1h 50m,0,0
335. YA - medved,1h 37m,0,0
336. Kaagada,2h 29m,0,0
338. Tarpana,2h 18m,0,0
339. When the World Met Miss Probinsyana,2h 35m,0,0
340. Odna doma. Velikolepnaya pyatyorka,1h 25m,0,0
341. Once Upon a Christmas,1h 55m,0,0
342. Max und die wilde 7: Die Geister-Oma,1h 30m,0,0
343. Satidevi,2h 9m,0,0
344. Perfekta: Uma Aventura da Escola de Gênios,1h 32m,0,0
345. Malyshariki. Den rozhdeniya,52m,5.8,0
346. Feng Zi Lao Ba,1h 25m,0,0
347. Lek Asavi Tar Ashi,2h 23m,0,0
350. Khelaghar Bandhte Legechi,1h 40m,0,0
351. RB&O Live: Alice's Adventures in Wonderland,3h 25m,0,0
352. Last Defenders of Monogamy,1h 24m,0,0
353. Klaantha,1h 47m,0,0
355. Iwájú: A Day Ahead,1h 11m,6.8,0
356. Interview,1h 55m,0,0
357. Vindu Bhojanam,1h 43m,0,0
"358. Poymay sobaku, esli smozhesh",1h 36m,0,0
359. Udanadi Mangalyam,1h 30m,0,0
360. Princezna na hrásku,1h 20m,0,0
361. Alive & Free,1h 31m,0,0
362. Mezhdu nami,1h 33m,0,0
363. A House Without a Father,1h 1m,0,0
365. Nosso Amiguinho,1h 40m,0,0
366. Indonesia dari Timur,1h 52m,0,0
367. V banyu!,1h 39m,0,0
368. Papu mame zaverni,1h 46m,0,0
"369. But First, Coffee",49m,0,0
370. Moyo sobache delo,1h 17m,0,0
371. My Dad Is an Alien,1h 36m,0,0
372. Prinsessa Pikkiriikki,1h 15m,0,0
373. Novogodnee chudo,1h 13m,0,0
374. Kattis Gang,2h 24m,0,0
376. Give 'Em Hell Honey!,1h 34m,6.1,0
377. Vovó Ninja,1h 36m,0,0
378. Let's Go! Anpanman: Baikinman and Lulun,1h 4m,0,0
380. Arne Alligator och djungelkompisarna,1h 1m,0,0
381. Bitva pap,1h 19m,0,0
382. Neposlushniki,1h 48m,0,0
383. Dastaavej,2h 20m,0,0
386. The Heiress,2h 11m,0,0
388. Candlelight My Way,1h 35m,0,0
390. Ani-Mom,1h 5m,0,0
391. Korporatsiya Morozov,1h 23m,0,0
392. Kazhdyy mechtaet o sobake,1h 30m,0,0
393. The Christmas Room,1h 39m,6.4,0
394. Mukhadrakon,1h 49m,0,0
395. 1600 Meter,1h 46m,0,0
397. Magic Birds: I magiki pagida,1h 40m,0,0
398. Suvorovets 1944,1h 30m,0,0
399. Graphy,33m,0,0
401. Tui Ke Amar,1h 54m,0,0
403. Thomas & Friends ERTL Adventures: The Biggest Christmas Adventure,1h 15m,0,0
404. Uparwala & Sons,2h 6m,0,0
405. Chitra,2h 5m,0,0
406. Skaapboud of Potjie,1h 29m,0,0
407. Hothat Bhalobasa,1h 4m,0,0
408. Her Life Choice,45m,0,0
409. Panne,2h 42m,0,0
410. Childhood Tales,1h 3m,7.3,0
411. Give You a Candy,2h 14m,0,0
412. A Christmas Reunion,1h 4m,0,0
415. Haddhu Ledhu Raa,1h 52m,0,0
416. Nebesko,1h 13m,0,0
417. Idu Entha Lokavayya,2h,0,0
418. Hamari Ramleela,1h 59m,0,0
420. Appa I Love You,2h 25m,0,0
422. Uzhaipalar Thinam,2h 2m,0,0
424. Selebryata,1h 33m,0,0
425. Agar Magar Kintu Lekin Parantu,1h 50m,0,0
426. Príncipe Lu e a Lenda do Dragão,1h 30m,0,0
427. Stealing Church,39m,0,0
428. Jugol,49m,0,0
430. Kaash (Jiff Official Selection),54m,0,0
433. Person of the Year,1h 40m,0,0
434. L'Elisir di Leonardo da Vinci e la Banda del Buffardello,1h 30m,0,0
435. Maranayudham,2h 21m,0,0
437. Omar v bolshom kino,1h 26m,0,0
438. LUDA,1h 26m,0,0
440. Pinnil Oral,2h 7m,0,0
442. Ram NRI,2h 13m,0,0
443. Mahendranin Ponnu Mappillai,1h 59m,0,0
444. Isabella: Diary of A Foster Girl,1h 50m,0,0
445. The Sailing Movie,1h 28m,0,0
447. Novogodniy ekspress,47m,0,0
449. Mangu the Fighter,1h 45m,0,0
450. The Grump's Christmas,1h 5m,0,0
453. The Halloween Shark,1h 9m,0,0
454. Baby Halloween,1h 6m,0,0
455. Papa Ki Pari,15m,0,0
456. Bigfoot in Wonderland,1h 1m,0,0
457. Skazochnyy patrul. Shou prodolzhayetsya,1h 5m,7.2,0
458. Kallu Compound 1995,2h 20m,0,0
459. Iyus Jenius,1h 22m,0,0
460. Diego of the Dead 2,1h,0,0
461. The Elf Who Saved Christmas,1h 2m,0,0
462. Snow White's Storytime: The Wishing-Stone Stories,4h 56m,0,0
463. Forever Queens,1h 2m,0,0
464. Alfred and His Mischiefs,1h 39m,0,0
465. Non succederà più,1h 30m,0,0
466. Fien & Teun Circus op de Boerderij,1h 17m,0,0
469. Hamar Niyati,2h 19m,0,0
473. Snooze,1h 21m,0,0
"476. Salem, SOS-ed!",1h 31m,0,0
477. Mit Baa Ko Gaun,1h 45m,0,0
481. Christian Growth Through Hymns,50m,0,0
483. In the Sea of Grace,1h 28m,0,0
484. Thanksgiving in Wonderland,1h 5m,0,0
485. Wholesome Grove,1h 39m,0,0
486. Benih,56m,0,0
492. Venice 2024 Journey Australia,55m,0,0
493. Le trésor perdu,1h 12m,0,0
494. O Gün Hava Bulutlu Degildi,2h,0,0
495. Wolf Witch Giant Fairy,1h 10m,0,0
496. Ruthupavanalu (Monsoon Breeze),2h 15m,0,0
499. Borjatri,1h 12m,0,0
501. Our Place Is Here,54m,0,0
503. Gyani Goni,43m,0,0
504. Sipi Pelle TV-starana,1h 15m,0,0
506. Insaniyat,12m,0,0
508. Mult v kino. Vypusk # 167: Fokus-pokus,51m,0,0
510. Medicine Man,52m,0,0
