title,runtime,imdb_score,votes,genre
Moana 2,100,6.7,91000,Family
Transformers One,104,7.6,48000,Family
Juliette au printemps,95,0.0,0,Family
Juf Braaksel en de Geniale Ontsnapping,83,0.0,0,Family
Babah,129,0.0,0,Family
Ole Aale,142,0.0,0,Family
The Casagrandes Movie,89,5.6,0,Family
Like a Rolling Stone,106,0.0,0,Family
"Maya, donne-moi un titre",61,0.0,0,Family
2nd Miracle in Cell No. 7,147,7.8,0,Family
Dance Rivals,93,0.0,0,Family
Wallace & Gromit: Vengeance Most Fowl,82,7.5,33000,Family
Father There is Only One 4,90,0.0,0,Family
Dear Family,116,0.0,0,Family
Victoria må dø,85,0.0,0,Family
Børnene fra Sølvgade,102,0.0,0,Family
Grrr...,121,0.0,0,Family
My Oni Girl,112,6.0,1700,Family
The Big Trip 3: Race Around the World,85,0.0,0,Family
Elli and the Ghostly Ghost Train,86,0.0,0,Family
"Die Heinzels: Neue Mützen, Neue Mission",76,0.0,0,Family
Harold and the Purple Crayon,90,5.7,8000,Family
Krispy Rishtey,133,0.0,0,Family
Gracie and Pedro: Pets to the Rescue,87,5.1,0,Family
Letuchiy korabl,100,0.0,0,Family
The Adventures of Jurassic Pet: Return to the Wild,90,0.0,0,Family
Bremenskie muzykanty,115,0.0,0,Family
Dog Days,120,0.0,0,Family
Paper Flowers,100,0.0,0,Family
Aanandhapuram Diaries,115,0.0,0,Family
"Robotia, the Movie",86,0.0,0,Family
Kung Fu Panda 4,94,6.3,67000,Family
Little Emma,106,5.7,0,Family
Zak & Wowo: The Legend of Lendarys,85,0.0,0,Family
Il migliore dei mali,90,0.0,0,Family
Windcatcher,80,0.0,0,Family
Kvitebjørn,85,0.0,0,Family
Luv Ki Arrange Marriage,135,0.0,0,Family
G for Gap,103,0.0,0,Family
Powder Pup,89,6.2,0,Family
Living Large,80,0.0,0,Family
Stinky Summer,90,0.0,0,Family
Young Hearts,99,0.0,0,Family
Goldbeak,94,4.9,0,Family
Tri kota. Zimnie kanikuly,65,0.0,0,Family
My Redneck Neighbor: Chapter 2 - Let the Games Begin,55,0.0,0,Family
Saint Nick of Bethlehem,93,9.3,0,Family
Chicken Coop,98,0.0,0,Family
Eine zweite Chance,91,0.0,0,Family
Yaren Leylek,95,0.0,0,Family
The Garfield Movie,101,5.7,24000,Family
Daaru Na Peenda Hove,111,0.0,0,Family
Singapore Saloon,137,0.0,0,Family
Superkrachten voor je hoofd,92,0.0,0,Family
Magic Beach,80,0.0,0,Family
Sunny,122,0.0,0,Family
Sieger Sein,119,0.0,0,Family
Captain Avispa,96,5.8,0,Family
Baba Yaga spasaet Novyy god,99,0.0,0,Family
Gina,100,0.0,0,Family
The Forge,124,6.7,4600,Family
Peppa's Cinema Party,65,5.0,0,Family
Yolki 11,92,0.0,0,Family
Daye: Seret ahl el Daye,104,0.0,0,Family
Nadanna Sambhavam,120,0.0,0,Family
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,90,0.0,0,Family
The Proud Princess,84,0.0,0,Family
SuperKlaus,88,0.0,0,Family
Gharat Ganpati,139,0.0,0,Family
My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,74,0.0,0,Family
Descendants: The Rise of Red,91,4.7,6900,Family
Vishesham,136,0.0,0,Family
Too Old for Fairy Tales 2,95,0.0,0,Family
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,71,0.0,0,Family
Planet 7693,110,0.0,0,Family
Chithini,151,0.0,0,Family
14 Days Love,112,0.0,0,Family
Luigi's Mansion,60,0.0,0,Family
Joy of Horses,90,0.0,0,Family
Kardes Takimi,95,0.0,0,Family
Ghudchadi,113,0.0,0,Family
Spellbound,109,5.6,6500,Family
