Title,Runtime,IMDB_Score,Votes
1. Moana 2,1h 40m,6.7, (91K)
2. Wicked,2h 40m,7.5, (145K)
3. Nosferatu,2h 12m,7.3, (181K)
4. Flow,1h 25m,7.9, (62K)
5. Sonic the Hedgehog 3,1h 50m,6.9, (53K)
6. Mufasa: The Lion King,1h 58m,6.6, (48K)
7. Better Man,2h 15m,7.6, (23K)
8. Parthenope,2h 17m,6.6, (9.5K)
9. The Lord of the Rings: The War of the Rohirrim,2h 14m,6.3, (28K)
10. Megalopolis,2h 18m,4.7, (35K)
11. Solo Leveling: ReAwakening,2h 1m,8.8, (8.6K)
12. Beetlejuice Beetlejuice,1h 45m,6.7, (144K)
13. Inside Out 2,1h 36m,7.5, (212K)
14. The Life of Chuck,1h 50m,7.7,0
15. Damsel,1h 50m,6.1, (108K)
16. The Watchers,1h 42m,5.7, (56K)
17. The Crow,1h 51m,4.7, (33K)
18. IF,1h 44m,6.4, (57K)
19. Transformers One,1h 44m,7.6, (48K)
20. Red One,2h 3m,6.3, (138K)
21. Godzilla x Kong: The New Empire,1h 55m,6.1, (120K)
22. Ghostbusters: Frozen Empire,1h 55m,6.1, (92K)
23. Uglies,1h 40m,4.7, (32K)
24. Harold and the Purple Crayon,1h 30m,5.7, (8K)
25. Kung Fu Panda 4,1h 34m,6.3, (67K)
26. The Garfield Movie,1h 41m,5.7, (24K)
27. Kalki 2898 AD,3h,7, (66K)
28. Descendants: The Rise of Red,1h 31m,4.7, (6.9K)
29. Spellbound,1h 49m,5.6, (6.5K)
30. Rebel Moon - Part Two: The Scargiver,2h 2m,5.3, (59K)
31. This Is Me... Now,1h 5m,4.1, (7.1K)
32. The End,2h 28m,5.5, (1.6K)
33. Irish Wish,1h 33m,5.2, (21K)
34. Girl Haunts Boy,1h 40m,6.3, (2.8K)
35. Monster Summer,1h 37m,5.7, (3.5K)
36. The Tearsmith,1h 43m,5.2, (12K)
37. Hagen,2h 19m,0,0
38. The American Society of Magical Negroes,1h 44m,3.7, (12K)
39. Orion and the Dark,1h 33m,6.3, (17K)
40. The Wonderful Story of Henry Sugar and Three More,1h 28m,7.1, (6.3K)
41. Bhool Bhulaiyaa 3,2h 38m,0,0
42. Family Pack,1h 34m,5.5, (8.7K)
43. The Best Christmas Pageant Ever,1h 39m,6.8, (6K)
44. Justice League: Crisis on Infinite Earths - Part One,1h 33m,6.2, (8.3K)
45. Justice League: Crisis on Infinite Earths - Part Three,1h 34m,6.1, (4.4K)
46. Saving Bikini Bottom: The Sandy Cheeks Movie,1h 22m,3.7, (3.8K)
47. Dear Santa,1h 47m,5.4, (18K)
48. The Balconettes,1h 44m,0,0
49. Thelma the Unicorn,1h 33m,5.7, (2.9K)
50. Pedro Páramo,2h 10m,6.3, (2.8K)
51. Hanu Man,2h 38m,0,0
52. Buffalo Kids,1h 33m,0,0
53. The Thundermans Return,1h 10m,5, (1.8K)
54. Hot Frosty,1h 32m,5.3, (15K)
55. The Sand Castle,1h 38m,0,0
56. Seven Cemeteries,1h 24m,0,0
57. That Christmas,1h 31m,6.8, (17K)
58. Woodwalkers,1h 43m,0,0
59. The Tiger's Apprentice,1h 24m,5.7, (2.1K)
60. Ultraman: Rising,1h 57m,6.9, (6.2K)
61. Cinderella's Curse,1h 22m,3.3, (1.3K)
62. Timestalker,1h 29m,0,0
63. Justice League: Crisis on Infinite Earths - Part Two,1h 34m,5.5, (5.2K)
64. Doraemon the Movie: Nobita's Earth Symphony,1h 55m,0,0
65. Angels Fallen: Warriors of Peace,1h 43m,0,0
66. The Lost Tiger,1h 30m,0,0
67. A Dog's Will 2,1h 44m,0,0
68. 10 Lives,1h 28m,5.9, (1.9K)
69. Woody Woodpecker Goes to Camp,1h 40m,4.5, (2.5K)
70. Cinderella's Revenge,1h 25m,0,0
71. Dan Da Dan: First Encounter,1h 23m,0,0
72. Mononoke the Movie: The Phantom in the Rain,1h 29m,0,0
73. Dragonkeeper,1h 38m,5.7, (1.6K)
75. Dalia y el Libro Rojo,1h 47m,0,0
76. Warchief,1h 34m,2.5,0
77. Unspeakable: Beyond the Wall of Sleep,1h 30m,0,0
78. Alienoid: The Return to the Future,2h 2m,0,0
79. Chantal in Fairyland,1h 58m,0,0
80. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,1h 44m,7.1, (8.3K)
81. Mars,1h 24m,0,0
82. Harry Potter and the Stone,2h 32m,0,0
83. 200% Wolf,1h 38m,6, (1.3K)
84. Rebellious,1h 34m,0,0
85. The Night Before Christmas in Wonderland,1h 20m,6.3,0
86. Man and Witch: The Dance of a Thousand Steps,1h 34m,5.5,0
87. Devil's Knight,1h 30m,0,0
88. Thangalaan,2h 36m,0,0
89. A.R.M,2h 30m,0,0
90. Panda Bear in Africa,1h 24m,0,0
91. Ryan's World the Movie: Titan Universe Adventure,1h 20m,0,0
92. Overlord: The Sacred Kingdom,2h 15m,7,0
93. Kanguva,2h 32m,0,0
94. Niko: Beyond the Northern Lights,1h 26m,6.2,0
"95. Love, Danielle",1h 19m,0,0
96. Assassin's Guild,1h 43m,0,0
97. Cells at Work!,1h 49m,0,0
98. Ghost Cat Anzu,1h 37m,0,0
99. Robin and the Hoods,1h 40m,0,0
100. Barroz: Guardian of Treasures,2h 35m,0,0
101. Snatched a Billionaire to Be My Husband,1h 10m,0,0
102. Sketch,1h 32m,0,0
103. White Snake: Afloat,2h 13m,0,0
104. Super-Charlie,1h 20m,0,0
105. The Invisibles,1h 51m,0,0
106. Else,1h 40m,0,0
107. The Keepers of the 5 Kingdoms,1h 49m,0,0
108. Balestra,2h 25m,0,0
109. Schneewittchen,1h 10m,0,0
110. School of Magical Animals 3,1h 45m,0,0
111. The Witch: Revenge,1h 40m,0,0
112. Nonostante,1h 33m,0,0
113. The Sleeping Woman,1h 50m,0,0
114. Shrek 5: The Contract - A Fan Made Film,1h 24m,0,0
