title,runtime,imdb_score,votes,genre
10 Lives,88,5.9,1900,Fantasy
10 Lives,88,5.9,1900,Family
10 Lives,88,5.9,1900,Animation
200% Wolf,98,6,1300,Fantasy
200% Wolf,98,6,1300,Animation
200% Wolf,98,6,1300,Family
200% Wolf,98,6,1300,Adventure
2nd Miracle in Cell No. 7,147,7.8,0,Family
A Brother and 7 Siblings,129,8.6,1100,Family
A Hero's Journey: The Making of Percy Jackson and the Olympians,50,7.5,0,Family
A Nashville Wish,102,5.6,0,Family
A Sloth Story,90,5.6,0,Animation
A Sloth Story,90,5.6,0,Family
And the Breadwinner Is...,123,6.8,0,Family
Arthur the King,107,7,34000,Adventure
Atlas,118,5.6,55000,Adventure
Autumn and the Black Jaguar,100,5.6,0,Family
Average Joe,100,4.2,0,Family
Ayalaan,155,6,4000,Adventure
Bad Boys: Ride or Die,115,6.5,98000,Adventure
Bade Miyan Chote Miyan,163,3.8,39000,Adventure
Badland Hunters,107,5.9,12000,Adventure
Baki Hanma VS Kengan Ashura,62,5.7,1900,Animation
Bambi: A Tale of Life in the Woods,85,5.6,0,Family
BeBe Winans' We Three Kings,90,6.9,0,Family
Beetlejuice Beetlejuice,105,6.7,144000,Fantasy
Better Man,135,7.6,23000,Fantasy
Bigfoot in Wonderland,61,7.2,0,Animation
Bionic,110,4.3,1700,Adventure
Blue Lock: Episode Nagi,91,6.6,2400,Animation
Boonie Bears: Time Twist,105,6,0,Animation
Borderlands,101,4.7,46000,Adventure
Captain Avispa,96,5.8,0,Family
Captain Avispa,96,5.8,0,Animation
Captain Avispa,96,5.8,0,Fantasy
Captain Miller,157,6.5,8600,Adventure
Carol,115,8.3,0,Family
Carol,115,8.3,0,Fantasy
Childhood Tales,63,7.3,0,Family
Cinderella's Curse,82,3.3,1300,Fantasy
Civil War,109,7,233000,Adventure
Cult Killer,105,4.8,2700,Adventure
Damsel,110,6.1,108000,Adventure
Damsel,110,6.1,108000,Fantasy
Deadpool & Wolverine,128,7.6,482000,Adventure
Dear Santa,107,5.4,18000,Fantasy
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,104,7.1,8300,Fantasy
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,104,7.1,8300,Adventure
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,104,7.1,8300,Animation
Descendants: The Rise of Red,91,4.7,6900,Adventure
Descendants: The Rise of Red,91,4.7,6900,Fantasy
Descendants: The Rise of Red,91,4.7,6900,Family
Despicable Me 4,94,6.2,63000,Animation
Despicable Me 4,94,6.2,63000,Adventure
Despicable Me 4,94,6.2,63000,Family
Dragonkeeper,98,5.7,1600,Fantasy
Dragonkeeper,98,5.7,1600,Adventure
Dragonkeeper,98,5.7,1600,Animation
Dune: Part Two,166,8.5,615000,Adventure
Faith of Angels,98,5.9,0,Family
"Fallen Leaves, Broken Lighters",96,7.7,0,Fantasy
Family Pack,94,5.5,8700,Adventure
Family Pack,94,5.5,8700,Fantasy
Flow,85,7.9,62000,Animation
Flow,85,7.9,62000,Adventure
Flow,85,7.9,62000,Fantasy
Flow,85,7.9,62000,Family
Fox & Hare Save the Forest,71,5.9,0,Animation
Frida,87,7.5,1500,Animation
Furiosa: A Mad Max Saga,148,7.5,281000,Adventure
Gaami,147,6.4,2000,Adventure
Gaami,147,6.4,2000,Fantasy
Ghostbusters: Frozen Empire,115,6.1,92000,Adventure
Ghostbusters: Frozen Empire,115,6.1,92000,Fantasy
Girl Haunts Boy,100,6.3,2800,Fantasy
Give 'Em Hell Honey!,94,6.1,0,Family
Gladiator II,148,6.5,218000,Adventure
Godzilla x Kong: The New Empire,115,6.1,120000,Fantasy
Godzilla x Kong: The New Empire,115,6.1,120000,Adventure
Going Viral,90,6.8,0,Family
Goldbeak,94,4.9,0,Animation
Goldbeak,94,4.9,0,Family
Golden Kamuy,127,6.3,2500,Adventure
Gracie and Pedro: Pets to the Rescue,87,5.1,0,Family
Gracie and Pedro: Pets to the Rescue,87,5.1,0,Animation
Grand Theft Hamlet,89,6.9,1600,Animation
Gyakorlat teszi a mestert,46,6.1,0,Family
Haikyu!! The Dumpster Battle,85,7.7,6000,Animation
Harold and the Purple Crayon,90,5.7,8000,Adventure
Harold and the Purple Crayon,90,5.7,8000,Animation
Harold and the Purple Crayon,90,5.7,8000,Fantasy
Harold and the Purple Crayon,90,5.7,8000,Family
Hitpig,86,5.1,0,Animation
Hitpig,86,5.1,0,Family
Hold Me Close,98,7,0,Fantasy
Home Sweet Loan,112,8.1,0,Family
Hot Frosty,92,5.3,15000,Fantasy
How to Make Millions Before Grandma Dies,125,8,13000,Family
IF,104,6.4,57000,Animation
IF,104,6.4,57000,Family
IF,104,6.4,57000,Fantasy
Inanimate Insanity II: The Movie,106,8.3,0,Animation
Inanimate Insanity II: The Movie,106,8.3,0,Family
Inside Out 2,96,7.5,212000,Animation
Inside Out 2,96,7.5,212000,Adventure
Inside Out 2,96,7.5,212000,Fantasy
Inside Out 2,96,7.5,212000,Family
Irish Wish,93,5.2,21000,Fantasy
Iwájú: A Day Ahead,71,6.8,0,Family
Justice League: Crisis on Infinite Earths - Part One,93,6.2,8300,Adventure
Justice League: Crisis on Infinite Earths - Part One,93,6.2,8300,Animation
Justice League: Crisis on Infinite Earths - Part One,93,6.2,8300,Fantasy
Justice League: Crisis on Infinite Earths - Part Three,94,6.1,4400,Fantasy
Justice League: Crisis on Infinite Earths - Part Three,94,6.1,4400,Animation
Justice League: Crisis on Infinite Earths - Part Three,94,6.1,4400,Adventure
Justice League: Crisis on Infinite Earths - Part Two,94,5.5,5200,Animation
Justice League: Crisis on Infinite Earths - Part Two,94,5.5,5200,Fantasy
Justice League: Crisis on Infinite Earths - Part Two,94,5.5,5200,Adventure
Kalki 2898 AD,180,7,66000,Fantasy
Kalki 2898 AD,180,7,66000,Adventure
Kingdom of the Planet of the Apes,145,6.9,150000,Adventure
Kizumonogatari: Koyomi Vamp,144,7,0,Animation
Krapiva: Tsvetok smerti,81,6,0,Fantasy
Kung Fu Panda 4,94,6.3,67000,Family
Kung Fu Panda 4,94,6.3,67000,Adventure
Kung Fu Panda 4,94,6.3,67000,Animation
Kung Fu Panda 4,94,6.3,67000,Fantasy
Kyle and the Last Emerald,20,5.6,0,Fantasy
Kyle and the Last Emerald 2,15,8.4,0,Fantasy
Letters at Christmas,84,3.7,0,Fantasy
Little Emma,106,5.7,0,Family
Little Emma,106,5.7,0,Animation
Look Back,58,7.8,14000,Animation
Lost on a Mountain in Maine,98,6.1,1100,Adventure
Lost on a Mountain in Maine,98,6.1,1100,Family
Love Lies Bleeding,104,6.6,56000,Adventure
Madame Web,116,4,99000,Adventure
Major Grom: The Game,168,6.1,1800,Adventure
Malyshariki. Den rozhdeniya,52,5.8,0,Family
Man and Witch: The Dance of a Thousand Steps,94,5.5,0,Family
Man and Witch: The Dance of a Thousand Steps,94,5.5,0,Fantasy
Megalopolis,138,4.7,35000,Fantasy
Megamind vs. The Doom Syndicate,83,2.5,5500,Family
Megamind vs. The Doom Syndicate,83,2.5,5500,Animation
Megamind vs. The Doom Syndicate,83,2.5,5500,Adventure
Memoir of a Snail,95,7.8,15000,Animation
Moana 2,100,6.7,91000,Family
Moana 2,100,6.7,91000,Fantasy
Moana 2,100,6.7,91000,Adventure
Moana 2,100,6.7,91000,Animation
Monster Summer,97,5.7,3500,Adventure
Monster Summer,97,5.7,3500,Fantasy
Mr. Santa: A Christmas Extravaganza,98,8.5,0,Family
Mufasa: The Lion King,118,6.6,48000,Family
Mufasa: The Lion King,118,6.6,48000,Adventure
Mufasa: The Lion King,118,6.6,48000,Fantasy
Mufasa: The Lion King,118,6.6,48000,Animation
My Future You,109,8.5,0,Fantasy
My Hero Academia: You're Next,110,7,1900,Adventure
My Hero Academia: You're Next,110,7,1900,Animation
My Oni Girl,112,6,1700,Fantasy
My Oni Girl,112,6,1700,Animation
My Oni Girl,112,6,1700,Adventure
My Oni Girl,112,6,1700,Family
My Penguin Friend,97,6.7,4800,Adventure
My Penguin Friend,97,6.7,4800,Family
Naa Saami Ranga,150,4.5,1200,Adventure
Night of the Zoopocalypse,91,6.3,0,Animation
Niko: Beyond the Northern Lights,86,6.2,0,Family
Niko: Beyond the Northern Lights,86,6.2,0,Fantasy
Niko: Beyond the Northern Lights,86,6.2,0,Animation
No Time to Spy: A Loud House Movie,81,6.4,0,Animation
No Time to Spy: A Loud House Movie,81,6.4,0,Family
No Way Up,90,4.6,10000,Adventure
Nosferatu,132,7.3,181000,Fantasy
Orion and the Dark,93,6.3,17000,Adventure
Orion and the Dark,93,6.3,17000,Family
Orion and the Dark,93,6.3,17000,Animation
Orion and the Dark,93,6.3,17000,Fantasy
Our Church Thinks We're Dating,102,7.5,0,Family
Overlord: The Sacred Kingdom,135,7,0,Fantasy
Overlord: The Sacred Kingdom,135,7,0,Animation
Paddington in Peru,106,6.7,18000,Adventure
Paddington in Peru,106,6.7,18000,Family
Parthenope,137,6.6,9500,Fantasy
Pedro Páramo,130,6.3,2800,Fantasy
Peppa's Cinema Party,65,5,0,Animation
Peppa's Cinema Party,65,5,0,Family
Piece by Piece,93,6.9,5100,Animation
Piece by Piece,93,6.9,5100,Family
Powder Pup,89,6.2,0,Family
Rebel Moon - Part Two: The Scargiver,122,5.3,59000,Fantasy
Rebel Moon - Part Two: The Scargiver,122,5.3,59000,Adventure
Red One,123,6.3,138000,Adventure
Red One,123,6.3,138000,Fantasy
Respati,112,5.8,0,Fantasy
Saint Nick of Bethlehem,93,9.3,0,Family
Sasquatch Sunset,88,5.4,5300,Adventure
Saving Bikini Bottom: The Sandy Cheeks Movie,82,3.7,3800,Fantasy
Saving Bikini Bottom: The Sandy Cheeks Movie,82,3.7,3800,Animation
Saving Bikini Bottom: The Sandy Cheeks Movie,82,3.7,3800,Adventure
Saving Bikini Bottom: The Sandy Cheeks Movie,82,3.7,3800,Family
Si Juki the Movie: Harta Pulau Monyet,107,6,0,Family
Si Juki the Movie: Harta Pulau Monyet,107,6,0,Animation
Si Juki the Movie: Harta Pulau Monyet,107,6,0,Fantasy
Sixty Minutes,88,5.7,5100,Adventure
Skazochnyy patrul. Shou prodolzhayetsya,65,7.2,0,Fantasy
Skazochnyy patrul. Shou prodolzhayetsya,65,7.2,0,Family
Solo Leveling: ReAwakening,121,8.8,8600,Animation
Solo Leveling: ReAwakening,121,8.8,8600,Adventure
Solo Leveling: ReAwakening,121,8.8,8600,Fantasy
Something in the Water,86,4.1,4500,Adventure
Sonic the Hedgehog 3,110,6.9,53000,Family
Sonic the Hedgehog 3,110,6.9,53000,Fantasy
Sonic the Hedgehog 3,110,6.9,53000,Adventure
Spaceman,107,5.7,42000,Adventure
Spellbound,109,5.6,6500,Family
Spellbound,109,5.6,6500,Fantasy
Spellbound,109,5.6,6500,Adventure
Spellbound,109,5.6,6500,Animation
Storm Crashers,88,6.3,0,Animation
Storm Crashers,88,6.3,0,Family
That Christmas,91,6.8,17000,Family
That Christmas,91,6.8,17000,Animation
That Christmas,91,6.8,17000,Adventure
That Christmas,91,6.8,17000,Fantasy
The American Society of Magical Negroes,104,3.7,12000,Fantasy
The Best Christmas Pageant Ever,99,6.8,6000,Adventure
The Best Christmas Pageant Ever,99,6.8,6000,Fantasy
The Casagrandes Movie,89,5.6,0,Animation
The Casagrandes Movie,89,5.6,0,Fantasy
The Casagrandes Movie,89,5.6,0,Family
The Christmas Room,99,6.4,0,Family
The Colors Within,101,7.1,0,Animation
The Crow,111,4.7,33000,Fantasy
The Day the Earth Blew Up: A Looney Tunes Movie,91,7,2700,Family
The Day the Earth Blew Up: A Looney Tunes Movie,91,7,2700,Adventure
The Day the Earth Blew Up: A Looney Tunes Movie,91,7,2700,Animation
The Delegator,96,4.2,0,Animation
The End,148,5.5,1600,Fantasy
The Firing Squad,93,5.4,5000,Adventure
The Forge,124,6.7,4600,Family
The Garfield Movie,101,5.7,24000,Adventure
The Garfield Movie,101,5.7,24000,Animation
The Garfield Movie,101,5.7,24000,Fantasy
The Garfield Movie,101,5.7,24000,Family
